LEGONo,Color,Sample,R,G,B,c_Palette2016,c_Transparent,c_Glow,c_Metallic,t_BW,t_Classic,t_Friends,w_weight,w_Classic
1,White,,242,243,242,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,,1,1.5
5,Brick yellow,,215,197,153,TRUE,FALSE,FALSE,FALSE,,,,2,
18,Nougat,,204,142,104,TRUE,FALSE,FALSE,FALSE,,,,2,
21,Bright red,,196,40,27,TRUE,FALSE,FALSE,FALSE,,TRUE,,2,2
23,Bright blue,,13,105,171,TRUE,FALSE,FALSE,FALSE,,TRUE,,2,2
24,Bright yellow,,245,205,47,TRUE,FALSE,FALSE,FALSE,,TRUE,,2,2
26,Black,,27,42,52,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,,1,1.5
28,Dark green,,40,127,70,TRUE,FALSE,FALSE,FALSE,,,,1.5,
37,Bright green,,75,151,74,TRUE,FALSE,FALSE,FALSE,,TRUE,,1.5,1.5
38,Dark orange,,160,95,52,TRUE,FALSE,FALSE,FALSE,,TRUE,,1.5,1
40,Transparent,,236,236,236,TRUE,TRUE,FALSE,FALSE,,,,1,
41,Tr. Red,,205,84,75,TRUE,TRUE,FALSE,FALSE,,,,1,
42,Tr. Lg blue,,193,223,240,TRUE,TRUE,FALSE,FALSE,,,,1,
43,Tr. Blue,,123,182,232,TRUE,TRUE,FALSE,FALSE,,,,1,
44,Tr. Yellow,,247,241,141,TRUE,TRUE,FALSE,FALSE,,,,1,
47,Tr. Flu. Reddish orange,,217,133,108,TRUE,TRUE,FALSE,FALSE,,,,1,
48,Tr. Green,,132,182,141,TRUE,TRUE,FALSE,FALSE,,,,1,
49,Tr. Flu. Green,,248,241,132,TRUE,TRUE,FALSE,FALSE,,,,1,
102,Medium blue,,110,153,201,TRUE,FALSE,FALSE,FALSE,,,,2,
106,Bright orange,,218,133,64,TRUE,FALSE,FALSE,FALSE,,TRUE,,2,1
111,Tr. Brown,,191,183,177,TRUE,TRUE,FALSE,FALSE,,,,1,
113,Tr. Medi. reddish violet,,228,173,200,TRUE,TRUE,FALSE,FALSE,,,,1,
113,Tr. Medium Violet,,253,142,207,TRUE,TRUE,FALSE,FALSE,,,TRUE,1,
119,Br. yellowish green,,164,189,70,TRUE,FALSE,FALSE,FALSE,,TRUE,,1,1
124,Bright reddish violet,,146,57,120,TRUE,FALSE,FALSE,FALSE,,,TRUE,1,
126,Tr. Bright bluish violet,,165,165,203,TRUE,TRUE,FALSE,FALSE,,,TRUE,1,
135,Sand blue,,116,134,156,TRUE,FALSE,FALSE,FALSE,,,,1.5,
138,Sand yellow,,149,138,115,TRUE,FALSE,FALSE,FALSE,,,,1.5,
140,Earth blue,,32,58,86,TRUE,FALSE,FALSE,FALSE,,,,1.5,
141,Earth green,,39,70,44,TRUE,FALSE,FALSE,FALSE,,,,1.5,
143,Tr. Flu. Blue,,207,226,247,TRUE,TRUE,FALSE,FALSE,,,TRUE,1.5,
151,Sand green,,120,144,129,TRUE,FALSE,FALSE,FALSE,,,,2,
154,Dark red,,123,46,47,TRUE,FALSE,FALSE,FALSE,,,,2,
191,Flame yellowish orange,,232,171,45,TRUE,FALSE,FALSE,FALSE,,,TRUE,2,
192,Reddish brown,,105,64,39,TRUE,FALSE,FALSE,FALSE,,,,2,
194,Medium stone grey,,163,162,164,TRUE,FALSE,FALSE,FALSE,TRUE,,,1,
199,Dark stone grey,,99,95,97,TRUE,FALSE,FALSE,FALSE,TRUE,,,1,
212,Light royal blue,,159,195,233,TRUE,FALSE,FALSE,FALSE,,,TRUE,1,
221,Bright purple,,205,98,152,TRUE,FALSE,FALSE,FALSE,,,TRUE,1.5,
222,Light purple,,228,173,200,TRUE,FALSE,FALSE,FALSE,,,TRUE,1.5,
226,Cool yellow,,253,234,140,TRUE,FALSE,FALSE,FALSE,,,TRUE,1.5,
268,Medium lilac,,51,0,114,TRUE,FALSE,FALSE,FALSE,,,,1.5,
283,Light nougat,,252,200,155,TRUE,FALSE,FALSE,FALSE,,,,1.5,
297,Warm gold,,170,127,46,TRUE,FALSE,FALSE,TRUE,,,,1,
308,Dark brown,,49,38,29,TRUE,FALSE,FALSE,FALSE,,,,1,
311,Tr. Bright Green,,175,210,70,TRUE,TRUE,FALSE,FALSE,,,,1,
312,Medium nougat,,170,125,85,TRUE,FALSE,FALSE,FALSE,,,,1,
315,Silver Metallic,,140,140,140,TRUE,FALSE,FALSE,TRUE,,,,1,
316,Titanium Metallic,,62,60,57,TRUE,FALSE,FALSE,TRUE,,,,1,
321,Dark azur,,51,55,198,TRUE,FALSE,FALSE,FALSE,,,,1,
322,Medium azur,,113,197,232,TRUE,FALSE,FALSE,FALSE,,,TRUE,1,
323,Aqua,,185,220,210,TRUE,FALSE,FALSE,FALSE,,,,1,
324,Med. lavendar,,160,94,181,TRUE,FALSE,FALSE,FALSE,,,,1,
325,Lavendar,,202,162,221,TRUE,FALSE,FALSE,FALSE,,,,1,
326,Spring yellowish green,,212,235,142,TRUE,FALSE,FALSE,FALSE,,,TRUE,1,
329,White glow,,242,243,242,TRUE,FALSE,TRUE,FALSE,,,,1,
330,Olive green,,115,123,76,TRUE,FALSE,FALSE,FALSE,,,,1,
2,Grey,,161,165,162,FALSE,FALSE,FALSE,FALSE,,,,1,
3,Light yellow,,249,233,153,FALSE,FALSE,FALSE,FALSE,,,,1,
6,Light green,,194,218,184,FALSE,FALSE,FALSE,FALSE,,,,1,
9,Light reddish violet,,232,186,199,FALSE,FALSE,FALSE,FALSE,,,,1,
12,Light orange brown,,203,132,66,FALSE,FALSE,FALSE,FALSE,,,,1,
22,Med. reddish violet,,196,112,160,FALSE,FALSE,FALSE,FALSE,,,,1,
25,Earth orange,,98,71,50,FALSE,FALSE,FALSE,FALSE,,,,1,
27,Dark grey,,109,110,108,FALSE,FALSE,FALSE,FALSE,,,,1,
29,Medium green,,161,196,139,FALSE,FALSE,FALSE,FALSE,,,,1,
36,Lig. Yellowich orange,,243,207,155,FALSE,FALSE,FALSE,FALSE,,,,1,
39,Light bluish violet,,193,202,222,FALSE,FALSE,FALSE,FALSE,,,,1,
45,Light blue,,180,210,227,FALSE,FALSE,FALSE,FALSE,,,,1,
50,Phosph. White,,236,232,222,FALSE,FALSE,FALSE,FALSE,,,,1,
100,Light red,,238,196,182,FALSE,FALSE,FALSE,FALSE,,,,1,
101,Medium red,,218,134,121,FALSE,FALSE,FALSE,FALSE,,,,1,
103,Light grey,,199,193,183,FALSE,FALSE,FALSE,FALSE,,,,1,
104,Bright violet,,107,50,123,FALSE,FALSE,FALSE,FALSE,,,,1,
105,Br. yellowish orange,,226,155,63,FALSE,FALSE,FALSE,FALSE,,,,1,
